epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,238.103,1.3126,2.46737,0.97871,1.01836,0,0.91512,0.875,0.90419,0.66754,0.99401,0.8,0.87385,0.58201,1.0098,1.99644,0.82695,1.00165,0,0.0017228,0.0017228,0.0017228
30,245.68,1.20299,2.39305,0.98636,1.014,0,0.91438,0.875,0.91174,0.66188,0.94033,0.85,0.88237,0.57078,0.97395,2.00343,0.84629,1.00289,0,0.0017129,0.0017129,0.0017129
31,253.327,1.2624,2.27012,0.99215,1.0186,0,0.97208,0.87043,0.92249,0.71015,0.97208,0.87043,0.9002,0.58117,0.9201,1.99747,0.82635,1.01118,0,0.001703,0.001703,0.001703
32,261.027,1.12162,2.16619,0.92477,1.00282,0,0.97208,0.87043,0.92249,0.71015,0.97208,0.87043,0.9002,0.58117,0.9201,1.99747,0.82635,1.01118,0,0.0016931,0.0016931,0.0016931
33,268.327,1.15138,2.19213,0.97281,1.01722,0,0.96923,0.875,0.92432,0.72116,0.96923,0.875,0.90294,0.60741,0.91627,1.83523,0.78835,1.00122,0,0.0016832,0.0016832,0.0016832
34,276.026,1.22234,2.17605,0.99595,1.01261,0,0.96923,0.875,0.92432,0.72116,0.96923,0.875,0.90294,0.60741,0.91627,1.83523,0.78835,1.00122,0,0.0016733,0.0016733,0.0016733
35,283.79,1.18013,2.24344,0.90364,0.97691,0,0.97132,0.875,0.92797,0.73236,0.97132,0.875,0.90462,0.62424,0.88234,1.69139,0.75125,0.9863,0,0.0016634,0.0016634,0.0016634
36,291.606,1.12193,2.03545,0.88065,0.99816,0,0.97216,0.87309,0.92716,0.71309,0.97216,0.87309,0.90112,0.63671,0.91241,1.60255,0.75025,0.98659,0,0.0016535,0.0016535,0.0016535
37,299.144,1.12714,2.00762,0.92424,0.98965,0,0.97216,0.87309,0.92716,0.71309,0.97216,0.87309,0.90112,0.63671,0.91241,1.60255,0.75025,0.98659,0,0.0016436,0.0016436,0.0016436
38,306.645,1.14934,2.13866,0.9072,0.97916,0,0.97222,0.87481,0.91978,0.70837,0.96522,0.85,0.89488,0.63975,0.92297,1.65998,0.80017,0.98138,0,0.0016337,0.0016337,0.0016337
39,314.199,1.06234,1.95105,0.88296,0.9608,0,0.97212,0.87187,0.92034,0.72005,0.96318,0.85,0.89488,0.63468,0.93234,1.56794,0.80903,0.98881,0,0.0016238,0.0016238,0.0016238
40,321.752,1.12438,2.00297,0.89007,0.98414,0,0.97212,0.87187,0.92034,0.72005,0.96318,0.85,0.89488,0.63468,0.93234,1.56794,0.80903,0.98881,0,0.0016139,0.0016139,0.0016139
41,329.33,1.04956,1.92695,0.90129,0.96908,0,0.9462,0.87951,0.93056,0.72573,0.99112,0.85,0.90445,0.62788,0.8726,1.55117,0.79098,0.96742,0,0.001604,0.001604,0.001604
42,337.112,1.05885,1.96167,0.85257,0.95217,0,0.9462,0.87951,0.93056,0.72573,0.99112,0.85,0.90445,0.62788,0.8726,1.55117,0.79098,0.96742,0,0.0015941,0.0015941,0.0015941
43,344.723,1.06541,1.84624,0.90564,0.98466,0,0.97209,0.8707,0.9298,0.70751,0.97209,0.8707,0.91166,0.64143,0.87887,1.50246,0.79887,0.96789,0,0.0015842,0.0015842,0.0015842
44,352.375,1.08972,2.00479,0.84462,0.97766,0,0.9713,0.9,0.93466,0.71614,0.97211,0.87155,0.91564,0.62243,0.85273,1.45632,0.7651,0.96543,0,0.0015743,0.0015743,0.0015743
45,359.911,1.0236,1.91785,0.82059,0.94698,0,0.9713,0.9,0.93466,0.71614,0.97211,0.87155,0.91564,0.62243,0.85273,1.45632,0.7651,0.96543,0,0.0015644,0.0015644,0.0015644
46,367.724,1.02892,1.86037,0.8193,0.96818,0,1,0.87436,0.94263,0.73774,1,0.87039,0.91928,0.63609,0.82704,1.42357,0.72826,0.97006,0,0.0015545,0.0015545,0.0015545
47,375.642,0.98509,1.84744,0.80007,0.93965,0,0.97974,0.9,0.93709,0.73708,0.99549,0.85,0.91314,0.64909,0.81888,1.38787,0.72999,0.96217,0,0.0015446,0.0015446,0.0015446
48,383.489,1.01057,1.86207,0.85986,0.96343,0,0.97974,0.9,0.93709,0.73708,0.99549,0.85,0.91314,0.64909,0.81888,1.38787,0.72999,0.96217,0,0.0015347,0.0015347,0.0015347
49,391.317,1.0258,1.89417,0.78366,0.9389,0,0.96473,0.9,0.9361,0.74758,0.99854,0.85,0.91239,0.65652,0.81244,1.3709,0.69566,0.96181,0,0.0015248,0.0015248,0.0015248
50,398.826,1.02681,1.76556,0.7958,0.9335,0,0.96473,0.9,0.9361,0.74758,0.99854,0.85,0.91239,0.65652,0.81244,1.3709,0.69566,0.96181,0,0.0015149,0.0015149,0.0015149
51,406.515,0.98465,1.75439,0.78137,0.92797,0,0.95731,0.9,0.93822,0.76871,0.97195,0.86636,0.91069,0.65894,0.78351,1.33735,0.67951,0.96665,0,0.001505,0.001505,0.001505
52,414.181,0.99775,1.72146,0.79337,0.93801,0,0.96362,0.9,0.93427,0.75183,0.93685,0.875,0.90488,0.66306,0.8011,1.27096,0.69699,0.96112,0,0.0014951,0.0014951,0.0014951
53,421.874,1.0291,1.68715,0.80063,0.95273,0,0.96362,0.9,0.93427,0.75183,0.93685,0.875,0.90488,0.66306,0.8011,1.27096,0.69699,0.96112,0,0.0014852,0.0014852,0.0014852
54,429.297,0.98242,1.74639,0.76625,0.92389,0,0.96655,0.9,0.93414,0.75092,0.93947,0.875,0.90007,0.6307,0.78531,1.24603,0.68202,0.95871,0,0.0014753,0.0014753,0.0014753
55,437.155,1.02947,1.7147,0.77821,0.94477,0,0.94455,0.925,0.93451,0.73873,0.91878,0.9,0.90031,0.62929,0.8221,1.26654,0.68051,0.97362,0,0.0014654,0.0014654,0.0014654
56,444.723,0.94908,1.60268,0.74322,0.90446,0,0.94455,0.925,0.93451,0.73873,0.91878,0.9,0.90031,0.62929,0.8221,1.26654,0.68051,0.97362,0,0.0014555,0.0014555,0.0014555
57,452.671,1.00223,1.6888,0.8357,0.96298,0,0.9458,0.925,0.93646,0.74746,0.91998,0.9,0.90704,0.67196,0.78706,1.24476,0.67204,0.96282,0,0.0014456,0.0014456,0.0014456
58,460.249,0.97231,1.6474,0.83245,0.93318,0,0.9458,0.925,0.93646,0.74746,0.91998,0.9,0.90704,0.67196,0.78706,1.24476,0.67204,0.96282,0,0.0014357,0.0014357,0.0014357
59,468.016,1.01699,1.64634,0.77402,0.92622,0,0.94831,0.91753,0.94648,0.75789,1,0.84877,0.916,0.69545,0.77253,1.19454,0.68228,0.94465,0,0.0014258,0.0014258,0.0014258
60,475.702,0.99508,1.68146,0.7679,0.90647,0,0.97283,0.8954,0.94658,0.75638,0.99747,0.85,0.92141,0.69316,0.76994,1.13875,0.67737,0.94742,0,0.0014159,0.0014159,0.0014159
