severity	split	image	label	line	code	message
warning	train	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0377_jpg.rf.616677059599ed412b138e9a00e14bed.jpg	D:/MelonDataset/watermelon_seg/labels/train/roboflow_team128_v5_IMG_0377_jpg.rf.616677059599ed412b138e9a00e14bed.txt	3	tiny_polygon	Normalized polygon area 0.00000066 is very small.
warning	train	D:/MelonDataset/watermelon_seg/images/train/roboflow_team128_v5_IMG_0606_jpg.rf.5ee996e9b1028c58e13a8dae82f30432.jpg	D:/MelonDataset/watermelon_seg/labels/train/roboflow_team128_v5_IMG_0606_jpg.rf.5ee996e9b1028c58e13a8dae82f30432.txt	4	tiny_polygon	Normalized polygon area 0.00000049 is very small.
